dt,India,Japan,Netherlands,World
1991-09-01,0.219,0.776,1.243,0.426
1991-10-01,-0.215,0.594,-0.256,0.366
1991-11-01,-0.302,-0.002,-0.233,0.193
1991-12-01,-0.2,1.094,0.287,0.183
1992-01-01,-0.075,1.669,1.147,0.94
1992-02-01,-0.781,0.633,2.597,0.783
1992-03-01,0.197,1.54,1.782,0.71
1992-04-01,-0.049,0.558,0.616,0.258
1992-05-01,-0.38,-0.658,2.868,0.278
1992-06-01,0.713,-0.629,1.897,0.124
1992-07-01,0.395,-0.064,1.78,-0.281
1992-08-01,-0.104,-0.274,1.712,-0.078
1992-09-01,-0.167,-0.252,0.356,-0.294
1992-10-01,-0.181,0.055,-2.411,-0.15
1992-11-01,0.089,0.255,1.569,-0.216
1992-12-01,0.05,0.983,0.649,0.388
1993-01-01,0.275,1.737,2.791,0.713
1993-02-01,0.458,1.494,-0.32,0.718
1993-03-01,-0.88,0.286,0.798,0.795
1993-04-01,-0.274,-0.664,3.053,0.383
1993-05-01,0.319,-0.334,2.319,0.414
1993-06-01,0.312,-0.244,0.595,0.336
1993-07-01,0.276,-1.646,-0.339,0.311
1993-08-01,0.511,-1.612,-1.111,0.22
1993-09-01,-0.136,-0.674,-1.053,-0.031
1993-10-01,0.28,-0.513,-1.133,0.266
1993-11-01,0.413,1.282,-3.25,-0.373
1993-12-01,0.083,0.482,1.791,0.462
1994-01-01,0.911,0.449,3.084,0.511
1994-02-01,-0.291,0.991,-0.654,-0.264
1994-03-01,1.096,-0.479,2.412,0.712
1994-04-01,-0.671,1.106,0.732,0.613
1994-05-01,0.535,1.042,0.489,0.689
1994-06-01,-0.18,0.469,0.362,0.642
1994-07-01,-0.667,1.931,4.484,0.348
1994-08-01,-0.322,1.865,1.261,0.351
1994-09-01,-0.177,1.245,-0.311,0.467
1994-10-01,-0.254,1.334,-0.803,0.723
1994-11-01,0.043,1.139,3.55,0.729
1994-12-01,-0.072,0.85,2.36,0.515
1995-01-01,-0.761,0.493,1.35,1.217
1995-02-01,0.013,0.482,4.054,1.685
1995-03-01,-0.626,0.499,0.212,0.839
1995-04-01,-0.156,0.276,1.181,0.703
1995-05-01,0.006,0.335,0.6,0.565
1995-06-01,1.431,-0.623,-0.567,0.789
1995-07-01,0.248,0.49,3.419,0.538
1995-08-01,0.314,1.02,2.787,0.854
1995-09-01,0.361,-0.257,-0.012,0.647
1995-10-01,0.549,1.256,2.8,0.835
1995-11-01,0.285,-0.682,0.34,0.76
1995-12-01,0.647,-0.656,-3.296,0.406
1996-01-01,0.579,0.582,-1.767,0.258
1996-02-01,0.481,-0.291,-2.135,0.802
1996-03-01,1.129,0.275,-1.722,0.279
